TICK,VALIDATION,YAHOOTICK,TERMINACION,SECTOR,SUBSECTOR,DENOMINACION,TIPO,
PE&OLES,validado,PE&OLES.MX,,MATERIALES,MATERIALES,,,
PINFRA,validado,PINFRA.MX,,INDUSTRIAL,CONSTRUCCION,,,
PLANI,validado,PLANI.MX,,INDUSTRIAL,CONSTRUCCION,,,
PMCPAC,validado,PMCPACA.MX,A,SERVICIOS FINANCIEROS,ENTIDADES FINANCIERAS,Promecap acquisition company,SAB,CV
POCHTEC,validado,POCHTECB.MX,B,MATERIALES,MATERIALES,,,
POSADAS,validado,POSADASA.MX,A,SERVICIOS Y BIENES DE CONSUMO NO BASICO,SERVICIOS AL CONSUMIDOR,,,
PROCORP,validado,PROCORPA.MX,A,SERVICIOS FINANCIEROS,ENTIDADES FINANCIERAS,,,
PV,validado,PV.MX,,SERVICIOS FINANCIEROS,ENTIDADES FINANCIERAS,Penha Verde Aseguradora,SAB,CV
Q,validado,Q.MX,,SERVICIOS FINANCIEROS,ENTIDADES FINANCIERAS,,,
QBINDUS,validado,QBINDUSA.MX,A,MATERIALES,MATERIALES,QB Industrias,,
QUMMA,validado,QUMMAA.MX,A,SERVICIOS DE TELECOMUNICACIONES,MEDIOS DE COMUNICACION,Grupo QUMMA,,
R,validado,RA.MX,A,SERVICIOS FINANCIEROS,ENTIDADES FINANCIERAS,,,
RCENTRO,validado,RCENTROA.MX,A,SERVICIOS DE TELECOMUNICACIONES,MEDIOS DE COMUNICACION,,,
RLH,validado,RLHA.MX,A,SERVICIOS Y BIENES DE CONSUMO NO BASICO,SERVICIOS AL CONSUMIDOR,,,
SARE,validado,SAREB.MX,B,INDUSTRIAL,CONSTRUCCION,Sare holding,SAB,CV
SAVIA,validado,SAVIAA.MX,A,PRODUCTOS DE CONSUMO FRECUENTE,"ALIMENTOS, BEBIDAS Y TABACO",SAVIA,,
SIMEC,validado,SIMECB.MX,B,MATERIALES,MATERIALES,Grupo SIMEC,,
SITES,validado,SITESB-1.MX,B-1,TECNOLOGIA DE LA INFORMACION,EQUIPO TECNOLOGICO,,,
SORIANA,validado,SORIANAB.MX,B,PRODUCTOS DE CONSUMO FRECUENTE,VENTA DE PRODUCTOS DE CONSUMO FRECUENTE,,,
SPORT,validado,SPORTS.MX,S,SERVICIOS Y BIENES DE CONSUMO NO BASICO,SERVICIOS AL CONSUMIDOR,Grupo sports world,SAB,CV
TEAK,validado,TEAKCPO.MX,CPO,MATERIALES,MATERIALES,,,
TEKCHEM,validado,TEKCHEMA.MX,A,MATERIALES,MATERIALES,,,
TLEVISA,validado,TLEVISAA.MX,A,SERVICIOS DE TELECOMUNICACIONES,MEDIOS DE COMUNICACION,,,
TMM,validado,TMMA.MX,A,INDUSTRIAL,TRANSPORTES,,,
TRAXION,validado,TRAXIONA.MX,A,INDUSTRIAL,TRANSPORTES,,,
UNIFIN,validado,UNIFINA.MX,A,SERVICIOS FINANCIEROS,ENTIDADES FINANCIERAS,,,
URBI,validado,URBI.MX,,INDUSTRIAL,CONSTRUCCION,,,
VALUEGF,validado,VALUEGFO.MX,O,SERVICIOS FINANCIEROS,ENTIDADES FINANCIERAS,,,
VASCONI,validado,VASCONI.MX,,SERVICIOS Y BIENES DE CONSUMO NO BASICO,BIENES DE CONSUMO DURADERO Y CONFECCION,Grupo Vasconia,SAB,CV
VESTA,validado,VESTA.MX,,INDUSTRIAL,CONSTRUCCION,,,
VINTE,validado,VINTE.MX,,INDUSTRIAL,CONSTRUCCION,,,
VISTA,validado,VISTAA.MX,A,ENERGIA,ENERGIA,,,
VITRO,validado,VITROA.MX,A,MATERIALES,MATERIALES,,,
VOLAR,validado,VOLARA.MX,A,INDUSTRIAL,TRANSPORTES,,,
WALMEX,validado,WALMEX.MX,,PRODUCTOS DE CONSUMO FRECUENTE,VENTA DE PRODUCTOS DE CONSUMO FRECUENTE,,,
